Method,Mean RMSE,Std RMSE,Min RMSE,Max RMSE
BGAIN,21.915067656626825,13.626033530723381,4.027034661771173,41.1072155447644
BN_AUG_Imputer,15.005143648455608,10.537936851998808,1.391503081023084,35.66936387180707
KNN,13.34782825904806,9.704696638268546,1.1322533235847725,33.18424928617135
MICE,22.537357107460227,15.852649820962032,1.861443451283505,45.44979170968252
MeanMode,13.717854867308006,9.483305158871849,1.6067647763715942,34.096559483598135
MissForest,14.14190885103577,10.26628213727942,1.2898222382193976,36.61562176977297
